Year,Player,Rank,Position,Team,Points,Tgt,Rec,Rec Yds,Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
2018,Julio Jones,9,WR,ATL,92,170,113,1677,14.8,8,80,58,7.1,104.8,0,9.9,2,12,0,1,11,6,0.8,0.1,115,14.7,1689,8,2,14
2018,DeAndre Hopkins,11,WR,HOU,90,163,115,1572,13.7,11,85,49,7.2,98.3,0,9.6,1,-7,0,0,-7,-7,-0.4,0.1,116,13.5,1565,11,2,13
2018,Michael Thomas,13,WR,NOR,88,147,125,1405,11.2,9,82,72,7.8,87.8,0,9.6,0,0,0,0,0,0,0,0,125,11.2,1405,9,2,15
2018,Tyreek Hill,19,WR,KC,82,137,87,1479,17,12,66,75,5.4,92.4,0,10.8,22,151,1,8,33,6.9,9.4,1.4,109,15,1630,13,0,18
2018,Odell Beckham Jr.,23,WR,NYG,78,124,77,1052,13.7,6,50,51,6.4,87.7,0,8.5,5,19,0,2,11,3.8,1.6,0.4,82,13.1,1071,6,2,9
2018,Adam Thielen,33,WR,MIN,68,153,113,1373,12.2,9,74,68,7.1,85.8,0,9,5,30,0,1,15,6,1.9,0.3,118,11.9,1403,9,1,11
2018,Davante Adams,35,WR,GB,66,169,111,1386,12.5,13,64,57,7.4,92.4,0,8.2,0,0,0,0,0,0,0,0,111,12.5,1386,13,0,10
2018,Keenan Allen,38,WR,LAC,63,136,97,1196,12.3,6,66,54,6.1,74.8,0,8.8,9,75,0,4,28,8.3,4.7,0.6,106,12,1271,6,3,12
2018,JuJu Smith-Schuster,47,WR,PIT,54,166,111,1426,12.8,7,67,97,6.9,89.1,0,8.6,1,13,0,1,13,13,0.8,0.1,112,12.8,1439,7,1,11
2018,Mike Evans,53,WR,TB,48,138,86,1524,17.7,8,68,72,5.4,95.3,0,11,0,0,0,0,0,0,0,0,86,17.7,1524,8,2,11
2018,A.J. Green,58,WR,CIN,43,77,46,694,15.1,6,37,38,5.1,77.1,0,9,0,0,0,0,0,0,0,0,46,15.1,694,6,2,6
2018,Larry Fitzgerald,60,WR,ARI,41,112,69,734,10.6,6,39,37,4.3,45.9,0,6.6,0,0,0,0,0,0,0,0,69,10.6,734,6,0,5
2018,Amari Cooper,64,WR,DAL,37,107,75,1005,13.4,7,58,90,5,67,0,9.4,2,20,0,1,11,10,1.3,0.1,77,13.3,1025,7,2,8
2018,T.Y. Hilton,70,WR,IND,31,120,76,1270,16.7,6,62,68,5.4,90.7,0,10.6,0,0,0,0,0,0,0,0,76,16.7,1270,6,0,12
2018,Stefon Diggs,73,WR,MIN,28,149,102,1021,10,9,49,75,6.8,68.1,0,6.9,10,62,0,3,20,6.2,4.1,0.7,112,9.7,1083,9,0,8
2018,Robert Woods,76,WR,LAR,25,130,86,1219,14.2,6,74,39,5.4,76.2,0,9.4,19,157,1,9,56,8.3,9.8,1.2,105,13.1,1376,7,0,14
2018,Jarvis Landry,84,WR,CLV,17,149,81,976,12,4,44,51,5.1,61,0,6.6,3,60,1,2,51,20,3.8,0.2,84,12.3,1036,5,1,7
2018,Julian Edelman,90,WR,NE,11,108,74,850,11.5,6,63,36,6.2,70.8,0,7.9,9,107,0,7,20,11.9,8.9,0.8,83,11.5,957,6,1,9
2018,Tyler Lockett,98,WR,SEA,3,70,57,965,16.9,10,40,52,3.6,60.3,0,13.8,13,69,0,3,18,5.3,4.3,0.8,70,14.8,1034,10,2,10
2019,Michael Thomas,5,WR,NOR,96,185,149,1725,11.6,9,91,49,9.3,107.8,0,9.3,1,-9,0,0,-9,-9,-0.6,0.1,150,11.4,1716,9,1,17
2019,DeAndre Hopkins,8,WR,HOU,93,150,104,1165,11.2,7,68,43,6.9,77.7,0,7.8,2,18,0,2,12,9,1.2,0.1,106,11.2,1183,7,0,11
2019,Julio Jones,11,WR,ATL,90,157,99,1394,14.1,6,77,54,6.6,92.9,0,8.9,2,-3,0,0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1,11
2019,Tyreek Hill,22,WR,KC,79,89,58,860,14.8,7,39,57,4.8,71.7,0,9.7,8,23,0,1,5,2.9,1.9,0.7,66,13.4,883,7,0,9
2019,Mike Evans,30,WR,TB,71,118,67,1157,17.3,8,54,67,5.2,89,0,9.8,0,0,0,0,0,0,0,0,67,17.3,1157,8,0,9
2019,Chris Godwin,38,WR,TB,63,121,86,1333,15.5,9,63,71,6.1,95.2,0,11,1,8,0,0,8,8,0.6,0.1,87,15.4,1341,9,0,10
2019,Amari Cooper,49,WR,DAL,52,119,79,1189,15.1,8,54,53,4.9,74.3,0,10,1,6,0,0,6,6,0.4,0.1,80,14.9,1195,8,0,9
2019,Stefon Diggs,54,WR,MIN,47,94,63,1130,17.9,6,41,66,4.2,75.3,0,12,5,61,0,3,27,12.2,4.1,0.3,68,17.5,1191,6,4,13
